Current_State,Previous_State,Movers_Estimate
Colorado,Wyoming,2163.0
Connecticut,Alabama,788.0
Connecticut,Alaska,11.0
Connecticut,Arizona,657.0
Connecticut,Arkansas,80.0
Connecticut,California,4972.0
Connecticut,Colorado,591.0
Connecticut,Delaware,32.0
Connecticut,District of Columbia,327.0
Connecticut,Florida,7435.0
Connecticut,Georgia,2514.0
Connecticut,Hawaii,725.0
Connecticut,Idaho,0.0
Connecticut,Illinois,1522.0
Connecticut,Indiana,446.0
Connecticut,Iowa,0.0
Connecticut,Kansas,363.0
Connecticut,Kentucky,397.0
Connecticut,Louisiana,357.0
Connecticut,Maine,601.0
Connecticut,Maryland,1412.0
Connecticut,Massachusetts,13428.0
Connecticut,Michigan,975.0
Connecticut,Minnesota,681.0
Connecticut,Mississippi,364.0
Connecticut,Missouri,110.0
Connecticut,Montana,101.0
Connecticut,Nebraska,252.0
Connecticut,Nevada,781.0
Connecticut,New Hampshire,878.0
Connecticut,New Jersey,5379.0
Connecticut,New Mexico,53.0
Connecticut,New York,28181.0
Connecticut,North Carolina,1220.0
Connecticut,North Dakota,0.0
Connecticut,Ohio,414.0
Connecticut,Oklahoma,170.0
Connecticut,Oregon,0.0
Connecticut,Pennsylvania,4858.0
Connecticut,Rhode Island,4299.0
Connecticut,South Carolina,1146.0
Connecticut,South Dakota,0.0
Connecticut,Tennessee,2508.0
Connecticut,Texas,2678.0
Connecticut,Utah,84.0
Connecticut,Vermont,557.0
Connecticut,Virginia,1947.0
Connecticut,Washington,654.0
Connecticut,West Virginia,0.0
Connecticut,Wisconsin,42.0
Connecticut,Wyoming,0.0
Delaware,Alabama,12.0
Delaware,Alaska,59.0
Delaware,Arizona,476.0
Delaware,Arkansas,372.0
Delaware,California,516.0
Delaware,Colorado,212.0
Delaware,Connecticut,369.0
Delaware,District of Columbia,430.0
Delaware,Florida,1763.0
Delaware,Georgia,249.0
Delaware,Hawaii,0.0
Delaware,Idaho,33.0
Delaware,Illinois,193.0
Delaware,Indiana,0.0
Delaware,Iowa,212.0
Delaware,Kansas,0.0
Delaware,Kentucky,0.0
Delaware,Louisiana,0.0
Delaware,Maine,174.0
Delaware,Maryland,7829.0
Delaware,Massachusetts,465.0
Delaware,Michigan,82.0
Delaware,Minnesota,180.0
Delaware,Mississippi,70.0
Delaware,Missouri,105.0
Delaware,Montana,235.0
Delaware,Nebraska,0.0
Delaware,Nevada,118.0
Delaware,New Hampshire,0.0
Delaware,New Jersey,4041.0
Delaware,New Mexico,214.0
Delaware,New York,2552.0
Delaware,North Carolina,1563.0
Delaware,North Dakota,0.0
Delaware,Ohio,0.0
Delaware,Oklahoma,0.0
Delaware,Oregon,0.0
Delaware,Pennsylvania,13350.0
Delaware,Rhode Island,187.0
Delaware,South Carolina,385.0
Delaware,South Dakota,0.0
Delaware,Tennessee,629.0
Delaware,Texas,400.0
Delaware,Utah,33.0
Delaware,Vermont,0.0
Delaware,Virginia,882.0
Delaware,Washington,274.0
Delaware,West Virginia,0.0
Delaware,Wisconsin,342.0
Delaware,Wyoming,0.0
District of Columbia,Alabama,423.0
District of Columbia,Alaska,0.0
District of Columbia,Arizona,242.0
District of Columbia,Arkansas,0.0
District of Columbia,California,2976.0
District of Columbia,Colorado,376.0
District of Columbia,Connecticut,760.0
District of Columbia,Delaware,111.0
District of Columbia,Florida,1856.0
District of Columbia,Georgia,1537.0
District of Columbia,Hawaii,53.0
District of Columbia,Idaho,0.0
District of Columbia,Illinois,770.0
District of Columbia,Indiana,1010.0
District of Columbia,Iowa,0.0
District of Columbia,Kansas,0.0
District of Columbia,Kentucky,168.0
District of Columbia,Louisiana,1130.0
District of Columbia,Maine,1190.0
District of Columbia,Maryland,12647.0
District of Columbia,Massachusetts,2685.0
District of Columbia,Michigan,1490.0
District of Columbia,Minnesota,394.0
District of Columbia,Mississippi,130.0
District of Columbia,Missouri,365.0
District of Columbia,Montana,22.0
District of Columbia,Nebraska,58.0
District of Columbia,Nevada,56.0
District of Columbia,New Hampshire,14.0
District of Columbia,New Jersey,2071.0
District of Columbia,New Mexico,48.0
District of Columbia,New York,4766.0
District of Columbia,North Carolina,1423.0
District of Columbia,North Dakota,126.0
District of Columbia,Ohio,1248.0
District of Columbia,Oklahoma,476.0
District of Columbia,Oregon,794.0
District of Columbia,Pennsylvania,3085.0
District of Columbia,Rhode Island,369.0
District of Columbia,South Carolina,514.0
District of Columbia,South Dakota,0.0
District of Columbia,Tennessee,622.0
